id;name;start_date;finish_date;link;status_id;lifecycle_status
1;contextually-based Республика Натуральный;2022-07-04;2022-07-05;координатор Монголия красота;пиксель functionalities extensible;DELETED
2;Глобальный;2022-07-04;2022-07-04;benchmark European;redefine Берет;DELETED
3;Йемен цифровой;2022-07-04;2022-07-04;vortals revolutionary;Компьютер агент;DELETED
4;Enhanced пр.;2022-07-05;2022-07-04;intuitive ул. Buckinghamshire;Cambridgeshire;DELETED
5;область;2022-07-04;2022-07-04;iterate Multi-lateral дизайнер;Optional сенсор AGP;DELETED
6;Тульская операционный внутренний;2022-07-05;2022-07-05;распарсить внутренний;передать;ACTUAL
7;навигировать actuating Генеральный;2022-07-04;2022-07-04;Buckinghamshire Клатч services;Nakfa Fiji;DELETED
8;Маленький Pakistan логистический;2022-07-04;2022-07-04;навигация Bedfordshire;Cambridgeshire Пластиковый мятный;DELETED
9;ОЗУ количества;2022-07-05;2022-07-04;interactive;Пластиковый;ACTUAL
10;Гана;2022-07-05;2022-07-04;Генеральный излишний;синий;ACTUAL
